x,y
-1.122298732450353942e+00,-6.106265381919549068e-02
-9.752367564438921832e-01,-1.683502813086880726e-02
-8.206344426595635344e-01,1.603304818688261468e-02
-6.588982522541608766e-01,3.825510181756520967e-02
-4.904346463844775350e-01,5.054465944468537059e-02
-3.156500862073060576e-01,5.361524775174970892e-02
-1.349510328794391034e-01,4.818039342226440591e-02
5.125605244233014113e-02,3.495362313973616325e-02
2.425647086012087117e-01,1.464846358767129576e-02
4.385684744404035884e-01,-1.202155855042382274e-02
6.388608888031230837e-01,-4.434291659104259986e-02
8.430354905325722070e-01,-8.160208385067861669e-02
1.050685818471959632e+00,-1.230855336458254734e-01
1.261405411464492365e+00,-1.680797392929767042e-01
1.474787808353376750e+00,-2.158711741086259683e-01
1.690426547981820571e+00,-2.657463114092665779e-01
1.907915169193030502e+00,-3.169916245113924003e-01
2.126847210830214774e+00,-3.688935867314967476e-01
2.346816211736578506e+00,-4.207386713860732375e-01
2.567415710755330593e+00,-4.718133517916154318e-01
2.788239246729677046e+00,-5.214041012646168927e-01
3.008880358502824315e+00,-5.687973931215710710e-01
3.228932584917981963e+00,-6.132797006789719729e-01
3.447989464818355998e+00,-6.541374972533127163e-01
3.665644537047152873e+00,-6.906572561610867522e-01
3.881491340447580374e+00,-7.221254507187881977e-01
4.095123413862843620e+00,-7.478285542429097266e-01
4.306134296136153949e+00,-7.670530400499457890e-01
4.514117526110713818e+00,-7.790853814563896140e-01
4.718666642629733232e+00,-7.832120517787344305e-01
4.919375184536418644e+00,-7.787195243334739114e-01
5.115836690673976506e+00,-7.648942724371021740e-01
5.307644699885615047e+00,-7.410227694061123360e-01
5.494392751014538945e+00,-7.063914885569981816e-01
5.675674382903961757e+00,-6.602869032062528287e-01
5.851083134397082830e+00,-6.019954866703698393e-01
6.020212544337111282e+00,-5.308037122658435525e-01
6.182656151567257119e+00,-4.459980533091667532e-01
6.338007494930726793e+00,-3.468649831168323372e-01
6.485840310901083150e+00,-2.327920151495772583e-01
6.625422818883063059e+00,-1.047255413892494019e-01
6.755783246736575265e+00,3.516350685975982993e-02
6.875943364924550494e+00,1.846712498967965077e-01
6.984924943909918582e+00,3.415938080212094219e-01
7.081749754155609367e+00,5.037273015323404657e-01
7.165439566124552684e+00,6.688678507295376940e-01
7.235016150279677483e+00,8.348115759121479407e-01
7.289501277083918040e+00,9.993545973795150417e-01
7.327916717000198865e+00,1.160293035430985942e+00
7.349284240491456011e+00,1.315423010365906586e+00
7.352625618020613985e+00,1.462540642483623143e+00
7.336962620050607065e+00,1.599442052083482890e+00
7.301317017044365087e+00,1.723923359464829996e+00
7.244710579464815225e+00,1.833780684927010185e+00
7.166165077774891756e+00,1.926810148769371178e+00
7.064706009200892645e+00,2.000813026390487526e+00
6.940325222368847413e+00,2.054927312711413379e+00
